"","Type","Flora","Batch"
"1329","HM20","S",15
"1330","HM20","S",15
"1331","HM20","S",15
"1332","HM20","S",15
"1441","HM20","S",16
"1442","HM20","S",16
"1443","HM20","S",16
"1444","HM20","S",16
"1445","HM20","S",16
"1446","HM20","S",16
"1447","HM20","S",16
"1448","HM20","S",16
"1449","HM20","S",16
"1450","HM20","S",16
"1451","HM20","S",16
"1452","HM20","S",16
"1453","HM20","S",16
"1454","HM20","S",16
"1455","HM20","S",16
"1456","HM20","S",16
"1457","HM20","S",16
"1458","HM20","S",16
"1459","HM20","S",16
"1460","HM20","S",16
"1461","HM20","S",16
"1462","HM20","S",16
"1463","HM20","S",16
"1464","HM20","S",16
"1465","HM20","S",16
"1466","HM20","S",16
"1467","HM20","S",16
"1468","HM20","S",16
"1469","HM20","S",16
"1470","HM20","S",16
"1471","HM20","S",16
"1472","HM20","S",16
"1636","HM20","S",17
"1637","HM20","S",17
"1638","HM20","S",17
"1639","HM20","S",17
"1640","HM20","S",17
"1641","HM20","S",17
"1642","HM20","S",17
"1643","HM20","S",17
"1644","HM20","S",17
"1645","HM20","S",17
"1646","HM20","S",17
"1647","HM20","S",17
"1648","HM20","S",17
"1649","HM20","S",17
"1650","HM20","S",17
"1651","HM20","S",17
"1652","HM20","S",17
"1653","HM20","S",17
"1654","HM20","S",17
"1655","HM20","S",17
"1656","HM20","S",17
"1657","HM20","S",17
"1658","HM20","S",17
"1659","HM20","S",17
"1660","HM20","S",17
"1661","HM20","S",17
"1662","HM20","S",17
"1663","HM20","S",17
"1664","HM20","S",17
"1665","HM20","S",17
"1666","HM20","S",17
"1667","HM20","S",17
"1668","HM20","S",17
"1856","HM20","S",18
"1857","HM20","S",18
"1858","HM20","S",18
"1859","HM20","S",18
"1860","HM20","S",18
"1861","HM20","S",18
"1862","HM20","S",18
"1863","HM20","S",18
"1864","HM20","S",18
"1865","HM20","S",18
"1866","HM20","S",18
"1867","HM20","S",18
"1868","HM20","S",18
"1869","HM20","S",18
"1870","HM20","S",18
"1871","HM20","S",18
"1872","HM20","S",18
"1873","HM20","S",18
"1874","HM20","S",18
"1875","HM20","S",18
"1876","HM20","S",18
"1877","HM20","S",18
"1878","HM20","S",18
"1879","HM20","S",18
"1880","HM20","S",18
"1881","HM20","S",18
"1882","HM20","S",18
"1883","HM20","S",18
"1884","HM20","S",18
"1885","HM20","S",18
"1886","HM20","S",18
"1887","HM20","S",18
"1888","HM20","S",18
"1889","HM20","S",18
"1890","HM20","S",18
"1891","HM20","S",18
"1892","HM20","S",18
"1893","HM20","S",18
"1894","HM20","S",18
"1895","HM20","S",18
"1896","HM20","S",18
"1897","HM20","S",18
"1899","HM20","S",19
"1900","HM20","S",19
"1901","HM20","S",19
"1902","HM20","S",19
"1903","HM20","S",19
"1904","HM20","S",19
"1905","HM20","S",19
"1906","HM20","S",19
"1907","HM20","S",19
"1908","HM20","S",19
"1909","HM20","S",19
"1910","HM20","S",19
"1911","HM20","S",19
"1912","HM20","S",19
"1913","HM20","S",19
"1914","HM20","S",19
"1915","HM20","S",19
"1916","HM20","S",19
"1917","HM20","S",19
"1918","HM20","S",19
"1919","HM20","S",19
"1920","HM20","S",19
"1921","HM20","S",19
"1922","HM20","S",19
"1923","HM20","S",19
"1924","HM20","S",19
"1925","HM20","S",19
"1926","HM20","S",19
"1927","HM20","S",19
"1928","HM20","S",19
"1952","HM20","S",20
"1953","HM20","S",20
"1954","HM20","S",20
"1955","HM20","S",20
"1956","HM20","S",20
"1957","HM20","S",20
"1958","HM20","S",20
"1959","HM20","S",20
"1960","HM20","S",20
"1961","HM20","S",20
"1962","HM20","S",20
"1963","HM20","S",20
