"","Type","Flora","Batch"
"33410","HM20","C",11
"33510","HM20","C",11
"33710","HM20","C",11
"33810","HM20","C",11
"3391","HM20","C",11
"6281","HM20","C",12
"6291","HM20","C",12
"6301","HM20","C",12
"6311","HM20","C",12
"6321","HM20","C",12
"6331","HM20","C",12
"6341","HM20","C",12
"6351","HM20","C",12
"6361","HM20","C",12
"6371","HM20","C",12
"6381","HM20","C",12
"6391","HM20","C",12
"6401","HM20","C",12
"6411","HM20","C",12
"6421","HM20","C",12
"6431","HM20","C",12
"6441","HM20","C",12
"6451","HM20","C",12
"6461","HM20","C",12
"6471","HM20","C",12
"6481","HM20","C",12
"6491","HM20","C",12
"6501","HM20","C",12
"6511","HM20","C",12
"6521","HM20","C",12
"910","HM20","C",13
"911","HM20","C",13
"912","HM20","C",13
"913","HM20","C",13
"914","HM20","C",13
"915","HM20","C",13
"916","HM20","C",13
"917","HM20","C",13
"918","HM20","C",13
"919","HM20","C",13
"920","HM20","C",13
"921","HM20","C",13
"922","HM20","C",13
"923","HM20","C",13
"924","HM20","C",13
"925","HM20","C",13
"926","HM20","C",13
"927","HM20","C",13
"928","HM20","C",13
"929","HM20","C",13
"930","HM20","C",13
"931","HM20","C",13
"932","HM20","C",13
"933","HM20","C",13
"934","HM20","C",13
"935","HM20","C",13
"936","HM20","C",13
"937","HM20","C",13
"938","HM20","C",13
"939","HM20","C",13
"1178","HM20","C",14
"1179","HM20","C",14
"1180","HM20","C",14
"1181","HM20","C",14
"1182","HM20","C",14
"1183","HM20","C",14
"1184","HM20","C",14
"1185","HM20","C",14
"1186","HM20","C",14
"1187","HM20","C",14
"1188","HM20","C",14
"1189","HM20","C",14
"1190","HM20","C",14
"1191","HM20","C",14
"1192","HM20","C",14
"1193","HM20","C",14
"1194","HM20","C",14
"1195","HM20","C",14
"1196","HM20","C",14
"1197","HM20","C",14
"1198","HM20","C",14
"1199","HM20","C",14
"1200","HM20","C",14
"1201","HM20","C",14
"1202","HM20","C",14
"1203","HM20","C",14
"1204","HM20","C",14
"1205","HM20","C",14
"1206","HM20","C",14
"1207","HM20","C",14
"1208","HM20","C",14
"1209","HM20","C",14
"1210","HM20","C",14
"1453","HM20","C",15
"1454","HM20","C",15
"1455","HM20","C",15
"1456","HM20","C",15
"1457","HM20","C",15
"1458","HM20","C",15
"1459","HM20","C",15
"1460","HM20","C",15
"1461","HM20","C",15
"1462","HM20","C",15
"1463","HM20","C",15
"1464","HM20","C",15
"1465","HM20","C",15
"1466","HM20","C",15
"1467","HM20","C",15
"1468","HM20","C",15
"1717","HM20","C",16
"1718","HM20","C",16
"1719","HM20","C",16
"1720","HM20","C",16
"1721","HM20","C",16
"1722","HM20","C",16
"1723","HM20","C",16
"1724","HM20","C",16
"1725","HM20","C",16
"1726","HM20","C",16
"1727","HM20","C",16
"1728","HM20","C",16
"1729","HM20","C",16
"1730","HM20","C",16
"1731","HM20","C",16
"1732","HM20","C",16
"1733","HM20","C",16
"1734","HM20","C",16
"1735","HM20","C",16
"1736","HM20","C",16
"1737","HM20","C",16
"1738","HM20","C",16
"1739","HM20","C",16
"1740","HM20","C",16
"1991","HM20","C",17
"1992","HM20","C",17
"1993","HM20","C",17
"1994","HM20","C",17
"1995","HM20","C",17
"1996","HM20","C",17
