"","Type","Flora","Batch"
"1704","HM20","A",40
"1705","HM20","A",40
"1706","HM20","A",40
"1707","HM20","A",40
"1708","HM20","A",40
"1709","HM20","A",40
"1710","HM20","A",40
"1711","HM20","A",40
"1712","HM20","A",41
"1713","HM20","A",41
"1714","HM20","A",41
"1715","HM20","A",41
"1716","HM20","A",41
"1717","HM20","A",41
"1718","HM20","A",41
"1719","HM20","A",41
"1720","HM20","A",41
"1721","HM20","A",41
"1722","HM20","A",41
"1723","HM20","A",41
"1724","HM20","A",41
"1725","HM20","A",41
"1726","HM20","A",41
"1727","HM20","A",41
"1728","HM20","A",41
"1729","HM20","A",41
"1730","HM20","A",41
"1731","HM20","A",41
"1732","HM20","A",41
"1733","HM20","A",42
"1735","HM20","A",42
"1736","HM20","A",42
"1737","HM20","A",42
"1738","HM20","A",42
"1739","HM20","A",42
"1740","HM20","A",42
"1741","HM20","A",42
"1742","HM20","A",42
"1743","HM20","A",42
"1744","HM20","A",42
"1745","HM20","A",42
"1746","HM20","A",42
"1747","HM20","A",42
"1748","HM20","A",42
"1749","HM20","A",42
"1750","HM20","A",42
"1751","HM20","A",42
"1752","HM20","A",42
"1753","HM20","A",42
"1754","HM20","A",42
"1755","HM20","A",42
"1756","HM20","A",42
"1757","HM20","A",42
"1758","HM20","A",42
"1759","HM20","A",42
"1760","HM20","A",42
"1761","HM20","A",43
"1762","HM20","A",43
"1763","HM20","A",43
"1764","HM20","A",43
"1765","HM20","A",43
"1766","HM20","A",43
"1767","HM20","A",43
"1769","HM20","A",43
"1771","HM20","A",43
"1772","HM20","A",43
"1773","HM20","A",43
"1774","HM20","A",43
"1775","HM20","A",43
"1776","HM20","A",43
"1777","HM20","A",43
"1778","HM20","A",43
"1779","HM20","A",43
"1780","HM20","A",43
"1781","HM20","A",43
"1782","HM20","A",43
"1783","HM20","A",43
"1784","HM20","A",44
"1785","HM20","A",44
"1786","HM20","A",44
"1787","HM20","A",44
"1788","HM20","A",44
"1789","HM20","A",44
"1790","HM20","A",44
"1791","HM20","A",44
"1792","HM20","A",44
"1793","HM20","A",44
"1794","HM20","A",44
"1795","HM20","A",44
"1796","HM20","A",44
"1797","HM20","A",44
"1798","HM20","A",44
"1799","HM20","A",44
"1800","HM20","A",44
"1801","HM20","A",44
"1802","HM20","A",44
"1803","HM20","A",44
"1804","HM20","A",44
"1805","HM20","A",44
"1806","HM20","A",44
"1807","HM20","A",45
"1808","HM20","A",45
"1809","HM20","A",45
"1810","HM20","A",45
"1811","HM20","A",45
"1812","HM20","A",45
"1813","HM20","A",45
"1814","HM20","A",45
"1815","HM20","A",45
"1816","HM20","A",45
"1817","HM20","A",45
"1818","HM20","A",45
"1819","HM20","A",45
"1820","HM20","A",45
"1821","HM20","A",45
"1822","HM20","A",45
"1823","HM20","A",45
"1824","HM20","A",45
"1825","HM20","A",45
"1826","HM20","A",45
"1827","HM20","A",45
"1828","HM20","A",45
"1829","HM20","A",45
"1830","HM20","A",45
"1831","HM20","A",45
"1832","HM20","A",45
"1833","HM20","A",45
"1834","HM20","A",45
"1835","HM20","A",46
"1836","HM20","A",46
"1837","HM20","A",46
"1838","HM20","A",46
"1839","HM20","A",46
"1840","HM20","A",46
"1841","HM20","A",46
"1842","HM20","A",46
"1843","HM20","A",46
"1844","HM20","A",46
"1845","HM20","A",46
"1846","HM20","A",46
"1847","HM20","A",46
"1848","HM20","A",46
"1849","HM20","A",46
"1850","HM20","A",46
"1851","HM20","A",46
"1852","HM20","A",46
"1853","HM20","A",46
"1854","HM20","A",46
"1855","HM20","A",46
"1856","HM20","A",46
"1857","HM20","A",46
"1858","HM20","A",47
"1859","HM20","A",47
"1860","HM20","A",47
"1861","HM20","A",47
"1862","HM20","A",47
"1863","HM20","A",47
"1864","HM20","A",47
"1865","HM20","A",47
"1868","HM20","A",47
"1869","HM20","A",47
"1870","HM20","A",47
"1871","HM20","A",47
"1872","HM20","A",47
"1873","HM20","A",47
"1874","HM20","A",47
"1875","HM20","A",47
"1876","HM20","A",47
"1877","HM20","A",47
"1878","HM20","A",48
"1879","HM20","A",48
"1880","HM20","A",48
"1881","HM20","A",48
"1882","HM20","A",48
"1883","HM20","A",48
"1884","HM20","A",48
"1886","HM20","A",48
"1888","HM20","A",48
"1889","HM20","A",48
"1890","HM20","A",48
"1891","HM20","A",48
"1892","HM20","A",48
"1893","HM20","A",48
"1894","HM20","A",48
"1895","HM20","A",48
"1896","HM20","A",48
"1897","HM20","A",48
"1898","HM20","A",48
"1899","HM20","A",48
"1900","HM20","A",48
"1901","HM20","A",48
"1902","HM20","A",48
"1903","HM20","A",48
"1904","HM20","A",48
"1905","HM20","A",49
"1906","HM20","A",49
"1907","HM20","A",49
"1908","HM20","A",49
"1909","HM20","A",49
"1910","HM20","A",49
"1911","HM20","A",49
"1912","HM20","A",49
"1913","HM20","A",49
"1914","HM20","A",49
"1915","HM20","A",49
"1916","HM20","A",49
"1917","HM20","A",49
"1918","HM20","A",49
"1919","HM20","A",49
"1920","HM20","A",49
"1921","HM20","A",49
"1922","HM20","A",49
"1923","HM20","A",49
"1924","HM20","A",49
"1925","HM20","A",49
"1926","HM20","A",49
"1927","HM20","A",49
"1928","HM20","A",49
"1929","HM20","A",49
"1930","HM20","A",49
"1952","HM20","A",50
"1953","HM20","A",50
"1954","HM20","A",50
"1955","HM20","A",50
"1956","HM20","A",50
"1957","HM20","A",50
"1958","HM20","A",50
"1959","HM20","A",50
"1960","HM20","A",50
"1961","HM20","A",50
"1962","HM20","A",50
